title,price,condition,model_name,storage_gb,model_year,device_age,has_defect,final_condition_score,shipping_cost
Toys For Girls Beauty Set Kids 3 4 5 6 7 8 9 10 11 Years Age Old Cool Gift Xmas,40.39,Brand New,Unknown,64,2020,4,False,4.0,0
Educational Learning Toys for Kids Toddlers Age 3 4 5 6 7 8 Years Old Boys Girls,12.79,Brand New,Unknown,64,2020,4,False,4.0,0
Kids Smart Phone Toys for Girls Ages 3-7 with Dual Camera - Toddler Phone Toy...,21.95,Brand New,Unknown,64,2020,4,False,4.0,10
Toys For Girls Beauty Set Kids 3 4 5 6 7 8 9 10 11 Years Age Old Cool Gift Xmas,16.99,Brand New,Unknown,64,2020,4,False,4.0,10
Educational Learning Toys for Kids Toddlers Age 3 4 5 6 7 8 Years Old Boys Girls,12.95,Brand New,Unknown,64,2020,4,False,4.0,5
Toys For Girls Beauty Set Kids 3 4 5 6 7 8 9 10 11 Years Age Old Cool Gift Xmas,9.15,Brand New,Unknown,64,2020,4,False,4.0,0
Educational Learning Toys for Kids Toddlers Age 3 4 5 6 7 8 Years Old Boys Girls,23.75,Brand New,Unknown,64,2020,4,False,4.0,5
Educational Learning Toys for Kids Toddlers Age 3 4 5 6 7 8 Years Old Boys Girls,13.9,Brand New,Unknown,64,2020,4,False,4.0,0
"Dance Mat Toys for 3 4 5 6 7 8 9 10+ Year Old Girls Birthday Gifts, Musical Danc",40.0,Brand New,Unknown,64,2020,4,False,4.0,15
Educational Learning Toys for Kids Toddlers Age 3 4 5 6 7 8 Years Old Boys Girls,9.15,Brand New,Unknown,64,2020,4,False,4.0,10
Educational Learning Magnet Toys for Girls Kids Toddlers Age 3 4 5 6 7 Years Old,42.73,Brand New,Unknown,64,2020,4,False,4.0,10
Jumping Frog Toys Fun Children Gift Fillers Girls Boys Children Birthday K1F4@,0.99,Brand New,Unknown,64,2020,4,False,4.0,5
"Toys for Girls Teen Kids 3 4 5 6 7 8 Years Old Gift for Birthday, Christmas NEW",18.79,Brand New,Unknown,64,2020,4,False,4.0,15
Educational Learning Toys for Kids Toddlers Age 3 4 5 6 7 8 Years Old Boys Girls,8.9,Brand New,Unknown,64,2020,4,False,4.0,10
Toys For Girls Beauty Set Kids 3 4 5 6 7 8 Years Age Old Cool Gift Xmas,45.99,Brand New,Unknown,64,2020,4,False,4.0,10
Educational Learning Toys for Kids Toddlers Age 3 4 5 6 7 8 Years Old Boys Girls,8.64,Brand New,Unknown,64,2020,4,False,4.0,15
Toys For Girls Beauty Set Kids 3 4 5 6 7 8 9 10 11 Years Age Old Cool Gift Xmas,15.5,Brand New,Unknown,64,2020,4,False,4.0,0
Toys For Girls Beauty Set Kids 3 4 5 6 7 8 9 10 11 Years Age Old Cool Gift Xmas,28.58,Brand New,Unknown,64,2020,4,False,4.0,10
Educational Learning Toys for Kids Toddlers Age 3 4 5 6 7 8 Years Old Boys Girls,14.02,Brand New,Unknown,64,2020,4,False,4.0,0
Toys For Girls Beauty Set Kids 3 4 5 6 7 8 9 10 11 Years Age Old Cool Gift Xmas,23.07,Brand New,Unknown,64,2020,4,False,4.0,15
Educational Learning Toys for Kids Toddlers✅Age 3 4 5 6 7 8 Years Old Boys Girls,8.7,Brand New,Unknown,64,2020,4,False,4.0,0
Educational Learning Toys for Kids Toddlers Age 2 3 4 5 6 7 Years Old Girls Boys,13.98,Brand New,Unknown,64,2020,4,False,4.0,10
Educational Learning Toys for Girls Kids Toddlers Age 3 4 5 6 7 8 Years Old New,11.7,Brand New,Unknown,64,2020,4,False,4.0,10
Educational Learning Toys for Kids Toddlers Age 3 4 5 6 7 8 Years Old Boys Girls,8.95,Brand New,Unknown,64,2020,4,False,4.0,5
Toys For Girls Beauty Set Kids 3 4 5 6 7 8 9 10 11 Years Age Old Cool Gift Xmas,27.5,Brand New,Unknown,64,2020,4,False,4.0,10
Educational Learning Toys for Kids Toddlers Age 3 4 5 6 7 8 Years Old Boys Girls,13.9,Brand New,Unknown,64,2020,4,False,4.0,0
Educational Learning Toys for Kids Toddlers Age 3 4 5 6 7 8 Years Old Boys Girls,24.99,Brand New,Unknown,64,2020,4,False,4.0,15
Educational Learning Toys for Kids Toddlers Age 3 4 5 6 7 8 Years Old Boys Girls,12.5,Brand New,Unknown,64,2020,4,False,4.0,15
Educational Learning Toys for Kids Toddlers Age 2 3 4 5 6 7 Years Old Boys Girls,31.99,Brand New,Unknown,64,2020,4,False,4.0,0
Educational Learning Toys for Kids Toddlers Age 3 4 5 6 7 8 Years Old Boys Girls,37.99,Brand New,Unknown,64,2020,4,False,4.0,15
Toys For Girls Beauty Set Kids 3 4 5 6 7 8 9 10 11 Years Age Old Cool Gift Xmas,29.85,Brand New,Unknown,64,2020,4,False,4.0,0
Toys For Girls Beauty Set Kids 3 4 5 6 7 8 9 10 11 Years Age Old Cool Gift Xmas,37.95,Brand New,Unknown,64,2020,4,False,4.0,15
Toys For Girls Beauty Set Kids 3 4 5 6 7 8 9 10 11 Years Age Old Cool Gift Xmas*,25.95,Brand New,Unknown,64,2020,4,False,4.0,5
Educational Learning Toys for Girls Kids Toddlers Age 3 4 5 6 7 8 Years Old New,12.99,Brand New,Unknown,64,2020,4,False,4.0,15
Educational Learning Toys for Kids 5 6 7 8 9 Years Old Boys Girls Christmas Gift,15.9,Brand New,Unknown,64,2020,4,False,4.0,5
Toys For Girls Beauty Set Kids 3 4 5 6 7 8 9 10 11 Years Age Old Cool Gift Xmas,22.99,Brand New,Unknown,64,2020,4,False,4.0,15
Educational Learning Toys for Kids Toddlers Age 3 4 5 6 7 8 Years Old Boys Girls,22.99,Brand New,Unknown,64,2020,4,False,4.0,0
Educational Learning Toys for Kids Toddlers Age 2 3 4 5 6 7 Years Old Boys Girls,24.79,Brand New,Unknown,64,2020,4,False,4.0,0
Educational Learning Toys for Kids Toddlers Age 3 4 5 6 7 8 Years Old Boys Girls,16.74,Brand New,Unknown,64,2020,4,False,4.0,5
Educational Learning Toys for Kids Toddlers Age 3 4 5 6 7 8 Years Old Boys Girls,10.98,Brand New,Unknown,64,2020,4,False,4.0,10
