storage_gb,device_age,has_defect,final_condition_score,shipping_cost,price,title,condition,model_name
64,4,False,4.0,10,10.98,Educational Learning Toys for Kids Toddlers Age 3 4 5 6 7 8 Years Old Boys Girls,Brand New,Unknown
64,4,False,4.0,5,23.75,Educational Learning Toys for Kids Toddlers Age 3 4 5 6 7 8 Years Old Boys Girls,Brand New,Unknown
64,4,False,4.0,0,13.9,Educational Learning Toys for Kids Toddlers Age 3 4 5 6 7 8 Years Old Boys Girls,Brand New,Unknown
64,4,False,4.0,10,9.15,Educational Learning Toys for Kids Toddlers Age 3 4 5 6 7 8 Years Old Boys Girls,Brand New,Unknown
64,4,False,4.0,10,8.9,Educational Learning Toys for Kids Toddlers Age 3 4 5 6 7 8 Years Old Boys Girls,Brand New,Unknown
64,4,False,4.0,15,37.95,Toys For Girls Beauty Set Kids 3 4 5 6 7 8 9 10 11 Years Age Old Cool Gift Xmas,Brand New,Unknown
64,4,False,4.0,5,15.9,Educational Learning Toys for Kids 5 6 7 8 9 Years Old Boys Girls Christmas Gift,Brand New,Unknown
64,4,False,4.0,15,40.0,"Dance Mat Toys for 3 4 5 6 7 8 9 10+ Year Old Girls Birthday Gifts, Musical Danc",Brand New,Unknown
64,4,False,4.0,10,28.58,Toys For Girls Beauty Set Kids 3 4 5 6 7 8 9 10 11 Years Age Old Cool Gift Xmas,Brand New,Unknown
64,4,False,4.0,10,27.5,Toys For Girls Beauty Set Kids 3 4 5 6 7 8 9 10 11 Years Age Old Cool Gift Xmas,Brand New,Unknown
64,4,False,4.0,0,40.39,Toys For Girls Beauty Set Kids 3 4 5 6 7 8 9 10 11 Years Age Old Cool Gift Xmas,Brand New,Unknown
64,4,False,4.0,15,12.99,Educational Learning Toys for Girls Kids Toddlers Age 3 4 5 6 7 8 Years Old New,Brand New,Unknown
64,4,False,4.0,0,9.15,Toys For Girls Beauty Set Kids 3 4 5 6 7 8 9 10 11 Years Age Old Cool Gift Xmas,Brand New,Unknown
64,4,False,4.0,5,0.99,Jumping Frog Toys Fun Children Gift Fillers Girls Boys Children Birthday K1F4@,Brand New,Unknown
64,4,False,4.0,0,12.79,Educational Learning Toys for Kids Toddlers Age 3 4 5 6 7 8 Years Old Boys Girls,Brand New,Unknown
64,4,False,4.0,15,37.99,Educational Learning Toys for Kids Toddlers Age 3 4 5 6 7 8 Years Old Boys Girls,Brand New,Unknown
64,4,False,4.0,10,13.98,Educational Learning Toys for Kids Toddlers Age 2 3 4 5 6 7 Years Old Girls Boys,Brand New,Unknown
64,4,False,4.0,10,21.95,Kids Smart Phone Toys for Girls Ages 3-7 with Dual Camera - Toddler Phone Toy...,Brand New,Unknown
64,4,False,4.0,0,29.85,Toys For Girls Beauty Set Kids 3 4 5 6 7 8 9 10 11 Years Age Old Cool Gift Xmas,Brand New,Unknown
64,4,False,4.0,0,22.99,Educational Learning Toys for Kids Toddlers Age 3 4 5 6 7 8 Years Old Boys Girls,Brand New,Unknown
64,4,False,4.0,10,16.99,Toys For Girls Beauty Set Kids 3 4 5 6 7 8 9 10 11 Years Age Old Cool Gift Xmas,Brand New,Unknown
64,4,False,4.0,15,22.99,Toys For Girls Beauty Set Kids 3 4 5 6 7 8 9 10 11 Years Age Old Cool Gift Xmas,Brand New,Unknown
64,4,False,4.0,5,8.95,Educational Learning Toys for Kids Toddlers Age 3 4 5 6 7 8 Years Old Boys Girls,Brand New,Unknown
64,4,False,4.0,5,25.95,Toys For Girls Beauty Set Kids 3 4 5 6 7 8 9 10 11 Years Age Old Cool Gift Xmas*,Brand New,Unknown
64,4,False,4.0,10,42.73,Educational Learning Magnet Toys for Girls Kids Toddlers Age 3 4 5 6 7 Years Old,Brand New,Unknown
64,4,False,4.0,10,11.7,Educational Learning Toys for Girls Kids Toddlers Age 3 4 5 6 7 8 Years Old New,Brand New,Unknown
64,4,False,4.0,0,14.02,Educational Learning Toys for Kids Toddlers Age 3 4 5 6 7 8 Years Old Boys Girls,Brand New,Unknown
64,4,False,4.0,0,8.7,Educational Learning Toys for Kids Toddlers✅Age 3 4 5 6 7 8 Years Old Boys Girls,Brand New,Unknown
64,4,False,4.0,0,13.9,Educational Learning Toys for Kids Toddlers Age 3 4 5 6 7 8 Years Old Boys Girls,Brand New,Unknown
64,4,False,4.0,10,45.99,Toys For Girls Beauty Set Kids 3 4 5 6 7 8 Years Age Old Cool Gift Xmas,Brand New,Unknown
64,4,False,4.0,0,31.99,Educational Learning Toys for Kids Toddlers Age 2 3 4 5 6 7 Years Old Boys Girls,Brand New,Unknown
64,4,False,4.0,5,16.74,Educational Learning Toys for Kids Toddlers Age 3 4 5 6 7 8 Years Old Boys Girls,Brand New,Unknown
